date,Agricultural Products,Bags and Similar Containers,Ceramic Products Export,Footwear Export,"Pulp, Paper and Paper Products Export",Equipment and Electromechanical Exports,Chemicals Export,Measuring Instruments Export,Apparel and Clothing Accessories,Steel Products,Furniture and Parts,Electrical Equipment,Electrical Appliances,Automobiles and Spare Parts,Others,Refined Oil Products,Plastic Products,Textiles
05/2011,4903483383,1966062463,1096583080,3031352485,1051600054,18100000000.0,2901627539,1480000000,11457971176,4987731849,2869278591,5155998331,7704419745,4424548735,83600000000.0,2083950996,2751297958,8515326396
06/2011,4651320735,2201450512,1133894059,3665862584,1083525104,19800000000.0,3053956098,1560000000,14233524130,4635364435,2815954661,5167833679,7824374651,4686536668,83200000000.0,1804345459,2785100256,8246610689
07/2011,4966475493,2312460159,1302901485,4254705126,1278734079,21300000000.0,3459101768,1630000000,16905208707,4850417861,2957027542,5369426764,8003137623,5229464663,89000000000.0,1937392748,3034999177,8581586141
08/2011,4902335302,2365379834,1361472092,4189735232,1289526024,21000000000.0,3565035994,1640000000,16660083883,4598423635,2898820592,5594665261,8403829805,5345027140,87100000000.0,1872052718,3106278529,8230634455
09/2011,4938160851,2232330194,1327548712,3501109361,1192800222,20900000000.0,3354025261,1560000000,14646684796,4502227887,2653176163,5558794822,8768315820,5302880376,86800000000.0,1861425319,2964246530,7815880739
10/2011,4841978847,2176648439,1195374122,2803411857,1144093612,21000000000.0,3190962206,1500000000,11914470683,4043227066,2654005713,4997473525,8323144041,4924604501,80200000000.0,1367265802,2733794100,7327762400
11/2011,5840444784,2581816603,1607728372,2943829194,1488871964,21400000000.0,3297604612,1730000000,12071212381,4459640190,3692190533,5477367051,8165902595,5203209826,91600000000.0,1775432027,3476063221,7918667301
12/2011,6354895728,2025075457,1418144868,3754615281,1140814856,21500000000.0,3087396191,1870000000,13146012264,3932649121,3841444838,5557636512,7686401294,5337091720,90900000000.0,1894189903,3324111086,8185969520
01/2012,5408472175,1764319357,1091322288,3879978554,862855208,15200000000.0,2557916642,1490000000,13517551447,3783484881,3301616539,4834566726,6571206393,4906880591,78100000000.0,1615558669,2762110958,7576071368
02/2012,3703417632,762611565,629256279,1766695059,697594537,16600000000.0,2185750923,1200000000,5291051913,3193979986,1827136062,3815778153,5819233775,3700997926,61500000000.0,1898059314,1720669488,4173205799
03/2012,5216334333,1648848829,1044974520,2942466313,1029012974,20900000000.0,2810140053,1840000000,9992691017,4746299223,3426921279,5649510421,8129813535,5220738317,88600000000.0,1899990375,3073482966,8387141538
04/2012,5010720604,2144551254,1373675068,3099265257,1123293143,19600000000.0,2747963604,1790000000,10102258687,4416474478,3812615415,5391349167,8164992812,5164093956,87000000000.0,1548812177,3563809152,8299612705
05/2012,5187289746,2601673904,1637288150,3793607352,1335789227,20600000000.0,2921896493,1860000000,12289615522,5002997373,4473342088,5945591136,8453999417,5832728105,96900000000.0,1865526052,4278420434,9108509984
06/2012,4996334304,2473158693,1572851299,4207811067,1256072254,23400000000.0,2958876719,1890000000,14147224395,4977172034,4198302487,5689890978,7945093835,5702819963,92300000000.0,1844655587,3943914737,8290726895
07/2012,4892216595,2362378973,1643912584,4623959775,1290740157,22400000000.0,2975664111,1900000000,15478595673,4206322015,4163859224,5621240583,7469507029,5669285780,90000000000.0,1501504029,4155152486,7878182818
08/2012,5021370597,2117076166,1508944730,4455423024,1283837047,21900000000.0,3411171799,1860000000,16137377247,4069770424,3745263338,5684099398,8034137941,5768549309,90700000000.0,1693729858,4053355590,7897037356
09/2012,5349897252,2222267213,1538722443,4040383585,1341065443,23600000000.0,3617414838,1930000000,16183176202,4553424452,3973795203,6102727983,8865046821,5703310014,94700000000.0,1728921808,4277084844,8389952457
10/2012,5216490556,2199520924,1422981059,3410459049,1203485854,24900000000.0,3202276088,1680000000,14387534777,4030526690,4045912676,5328221591,8526865316,5028212991,88500000000.0,1601801920,3963262997,7922771605
11/2012,6055366431,1922310023,1342954370,3077020567,1133757489,27100000000.0,3404651947,1860000000,12567175622,4293898689,3539470020,5515817225,7776302013,5346116933,91600000000.0,1945437872,3461082784,8006284373
12/2012,6475719320,3090383496,1939054618,5066445288,1291217639,29000000000.0,3535761636,1970000000,15158871066,4212747304,5367686474,6281894104,8076441205,5661954304,98900000000.0,2165951216,4330175156,8475585532
01/2013,5949835939,2613197142,1654194182,5249388763,1181062494,25000000000.0,2816771811,1740000000,15121994531,4238275428,5137680377,5688473726,7026328445,5503191944,95600000000.0,2087213579,3910967940,9089616343
02/2013,3867741062,1799100450,1069475630,3208182392,858655695,21000000000.0,2196910900,1380000000,10312750635,3640656081,3203196980,4500650989,5670975372,4093428193,70700000000.0,1965436349,2828253132,5810144266
03/2013,5215124251,1532854321,1080582945,2518823718,1154419254,33900000000.0,3025147116,1700000000,8917386551,4490346001,3268372337,5848170393,7668344719,5245265826,94200000000.0,2383999619,3319018740,7389456043
04/2013,5631428183,2247555419,1376198046,3118573717,1239482715,28400000000.0,2847352356,1790000000,12270492031,4912057842,4224507641,6004316516,8942894392,5283604789,96100000000.0,2406501592,4082997178,9543746625
05/2013,5649352506,2542947692,1540917774,3647005609,1350935718,21500000000.0,2965777082,1950000000,12860915363,4894812370,4323728385,6014153933,8400123252,5761751272,96700000000.0,2294183025,4422111166,9605665132
06/2013,5243223490,2481927634,1500967794,4079329805,1315964735,20900000000.0,2941199714,1900000000,14454825048,4584489260,3912321609,5603145570,7806541026,5581757679,89600000000.0,1691178406,4002252084,9119271391
